company,date,tweet,n_replies,n_retweets,n_likes
0100 Meliá Hotels International ,24/09/2019," Necesitamos lograr que, en el año 2030, se cumplan los 17 #ObjetivosDeDesarrolloSostenible y necesitamos que todo el mundo conozca la #Agenda 2030. Participa en la campaña #ODSéate y ayudanos a difundir este mensaje para que nadie se quede atrás. >  http://ow.ly/hYSx50weRbl  #ODS pic.twitter.com/HaWxgHQDJE ",0.0,1.0,8.0
0100 Meliá Hotels International ,20/09/2019, .@GranMeliaHotels steps in #Africa with the opening of Gran Meliá Arusha based in the heart of #Arusha within Northern Tanzania. The perfect base to explore the natural beauty of some of Africa's most striking landscapes- #Serengeti and #Kilimanjaro. ?>  http://ow.ly/4mIC50whxIl  pic.twitter.com/9NgO1zsjoF ,1.0,4.0,115.0
0100 Meliá Hotels International ,23/08/2019, Have you heard? Cape Nao es uno de los beach clubs más top en #TheNewMagaluf y está abierto para todos los públicos. Ven y disfruta de su exquisita gastronomía y refrescantes cócteles a la orilla del mar. Reserva tu mesa aquí >  http://ow.ly/ZXKO50vez0Z  #CalviabeachByMelia pic.twitter.com/8ixvBCV3Pe ,0.0,5.0,34.0
0100 Meliá Hotels International ,22/08/2019," Your clients deserve the best. Whether for #leisure or on #business, expand their possibilities by booking their next stay with @MeliaProRewards and take advantage of the exclusive benefits that our platform for professionals offers. Find more here >  http://ow.ly/SSv550vBEoz  pic.twitter.com/ZHUg7FIWoc ",1.0,18.0,431.0
0100 Meliá Hotels International ,19/08/2019," Have you heard? La piscina flotante más grande en Europa, en Rooftop 9 de INNSiDE by Meliá Calvià Beach, te espera con su excelente oferta gastronómica, buena música y un ambiente único. ¡Una experiencia inolvidable en #TheNewMagaluf! >  http://ow.ly/8llw50vcq0t  #CalviabeachByMelia pic.twitter.com/vtbTAkSx87 ",2.0,26.0,146.0
0100 Meliá Hotels International ,09/08/2019, At @GranMeliadeMar we mix Mediterranean #gastronomy with exclusive relaxing experiences. Try the breakfast that chef Marga Coll prepares at #Arrels and combine it with #BaliBeds experience or a SPA procedure at our #SpabyClarins. >  http://ow.ly/XV7M50veZha  #GastroByMelia pic.twitter.com/azlbb6VbnS ,1.0,1.0,43.0
0100 Meliá Hotels International ,05/08/2019," A través de #SoapForHope reducimos nuestro impacto medioambiental y solo en #RepublicaDominicana reciclamos 1,500 kg de jabón desechado por año. Gracias @diversey por inspirarnos con esta maravillosa iniciativa y a @DiarioLibre por hacernos eco >  http://ow.ly/XMc850v9Wj9  pic.twitter.com/FF4WIyZno5 ",0.0,131.0,442.0
0100 Meliá Hotels International ,11/07/2019," Our management system, based on recipes and cost breakdowns, adapts our offer depending on the number of diners and services requested. We produce only what is needed and almost right away, while also ensuring both the quantity and quality of what we serve. #GastrobyMelia pic.twitter.com/Cbu1hMjMWj ",0.0,5.0,199.0
0100 Meliá Hotels International ,03/07/2019," #Cuba is much more than sun and beautiful beaches and we are very proud to be present in its most monumental cities like La Habana, Cienfuegos, Trinidad and Camagüey. The artist Alexander Cárdenas speaks about the people and culture in this destination. >  https://bit.ly/2J4IhEa  pic.twitter.com/JRXD9BfH57 ",0.0,18.0,634.0
0100 Meliá Hotels International ,13/05/2019," .@GranMeliaHotels presenta una serie de experiencias, llamadas ""Lecciones del Gran Vivir"", para mostrar cómo la pasión, el arte, cultura y el buen hacer son los perfectos compañeros de vida. Unas experiencias que serán ofrecidas muy pronto en nuestros hoteles #ALifeWellLived https://twitter.com/GranMeliaHotels/status/1125716046734925824 
 ",1.0,0.0,9.0
0100 Meliá Hotels International ,22/04/2019," As one of the most sustainable companies in the world, we are deeply committed with #climatechange. We have adopted concrete measures to reduce our environmental impact and on #InternationalMotherEarthDay we want to raise awareness and promote responsible consumption. #CSRbyMelia pic.twitter.com/T580VRJrD4 ",1.0,18.0,103.0
0100 Meliá Hotels International ,17/04/2019," Our Grand Reserve at @ParadisusPReal and @CirclebyMelia, represent the best quality and highest luxury travel experience in the Dominican Republic. Both were built with the vision of reducing carbon dioxide emissions and modeling #sustainability. >  http://ow.ly/jLRh30ojGu3  pic.twitter.com/f50nwUxwnP ",1.0,5.0,85.0
0100 Meliá Hotels International ,15/04/2019, Working towards ensuring access to affordable and sustainable #energy is crucial. Today 3 billion people lack access to clean-cooking solutions and are exposed to dangerous levels of air #pollution. ore insight about our commitment with #sustainability. >  http://ow.ly/miSh30oiIwe  pic.twitter.com/Onsv3qEVS2 ,0.0,1.0,75.0
0100 Meliá Hotels International ,29/03/2019," Our eco resort Paradisus Los Cayos is a place where the architecture and interior design ensure guests can relax in an exclusive private setting. Elegant, sophisticated and modern, it defines the essence of an all-inclusive #LuxuryExperience >  http://ow.ly/GUmm30of4a5  #ByMelia pic.twitter.com/j49SdEsZQP ",0.0,0.0,6.0
0100 Meliá Hotels International ,25/03/2019," En ¨Think Global¨ organizado por @eatableadv, nuestro Culinary Director @ValentinGZavala habló de la internacionalización de las startups gastronómicas con unos de los referentes en el mercado como @easy_mixers, @sangrialolea, @SupperStars_es y #Keatz >  http://ow.ly/W4hX30nX10G  pic.twitter.com/3e5zXNqiRG ",0.0,1.0,12.0
0100 Meliá Hotels International ,19/03/2019, #Technology and #Innovation are some of our major allies to add value for our clients and provide a more digital #GuestExperience. Thats why we have installed Alexa in every room of our Circle at @ParadisusPReal to fulfil each guests' wishes and personalise their preferences. pic.twitter.com/laAPgIzVCF ,1.0,31.0,666.0
0100 Meliá Hotels International ,03/03/2019," At Meliá, we listen and support you so you can develop your full potential in the best possible environment. That is #starringyou, a program in which we will provide you with the tools to create your own path to success. More information at >  http://ow.ly/O89u30nU0mD  @MeliaCareers pic.twitter.com/ec6mckVV8w ",0.0,5.0,8.0
0100 Meliá Hotels International ,16/02/2019," Our 1st hotel in the #CzechRepublic, designed by Spanish architect Meritxell Cuartero, will open its door in March. It will offer a gym with state-of-the-art fitness suites and digital fitness software. Meet our @InnsidebyMelia Prague Old Town! >  http://ow.ly/3nXD30nFH2M  pic.twitter.com/d7UsItS7vL ",0.0,3.0,11.0
0100 Meliá Hotels International ,24/01/2019," Hemos invertido en #NewMagaluf 240M, reformado 11 hoteles y transformado la segmentación para que vuelva a ser un destino familiar. El premio @InterMundial_ES es un respaldo fundamental para nosotros. @UmbertMaria, nuestra Directora de Comunicación. #fitur2019 #meliafitur pic.twitter.com/Nbji1qnXEG ",0.0,12.0,35.0
0100 Meliá Hotels International ,23/01/2019," En la grabación de la rueda de prensa con @GabrielEscarrer os presentamos lo que será una revolución: nuestra primera habitación 100% tecnológica, en la cual todos los elementos pueden ser modificados a voluntad del cliente. #Staycurious #MeliaFitur >  http://ow.ly/Io7r30nq2o8  pic.twitter.com/ea4W8roCCB ",1.0,46.0,173.0
0100 Meliá Hotels International ,23/01/2019," ¡Abrimos puertas! Sed bienvenidos y bienvenidas a #Fitur2019, nos esperan días de mucho aprendizaje, premios, novedades y charlas interesantísimas de la mano de actores clave en el sector turístico. ¡Arranca @fitur_madrid! Seguid nuestros pasos con #MeliaFitur. #Staycurious pic.twitter.com/bANsekgT4u ",1.0,43.0,107.0
0100 Meliá Hotels International ,19/01/2019," @InnsidebyMelia acaba de lanzar #TheArtofECO, una apuesta orientada hacia el cuidado, el reciclaje y la #sostenibilidad. Los materiales reciclados serán parte de nuestro stand de @fitur_madrid, que incluirá una obra de arte de #JorgePenades. Vía @nexotur >  http://ow.ly/pGfC30ndqdO  pic.twitter.com/CA9D5kq4By ",0.0,3.0,5.0
0100 Meliá Hotels International ,15/01/2019, ¡Enhorabuena al equipo de @meliapalmabay y @pcongressosp por ganar en la fase regional de los premios Hotels & Tourism de @caixabank en la categoría #RSC! En @fitur_madrid se publicaran los ganadores nacionales. ¡Suerte a todos los participantes! >  http://ow.ly/pjxV30njTi8  pic.twitter.com/yK0wuF9MGk ,2.0,6.0,33.0
0101 Me by Meliá ,21/12/2019," A Christmas tree, but not as you know it. Introducing #MELondons nine-story high animation, which uses LED energy-efficient light projectors to bring you the worlds most sustainable Christmas tree - complete with twinkling lights, falling snow and the scent of pine. #MEbyMelia pic.twitter.com/aPCsPZMem1 ",0.0,2.0,5.0
0101 Me by Meliá ,18/12/2019," #MECabo is days away from launching their new boutique, Mandala by Eclectic Array, which will celebrate artisans of handmade products.  Join us at the opening for live music, @donjulio cocktails and a pop art exhibition by local artist Aurora Covarrubias:  http://bit.ly/MECaboXMandala  pic.twitter.com/gdK5IAuBMu ",0.0,0.0,2.0
0101 Me by Meliá ,04/12/2019," Last month, @MEMadridHotel joined forces with @MovemberES, to raise awareness of a very worthwhile cause. Heres an inside look at their #ShakeYourMoustache closing party, which took place amongst the sky at #RadioMEMadrid. Donate to the cause:  http://bit.ly/MEMovember  #MEByMelia pic.twitter.com/JaqS4mStyu ",0.0,4.0,8.0
0101 Me by Meliá ,21/11/2019," As the official partner of @MovemberSpain, ME Madrid will become an epicentre of cultural celebration and collaborative discussion. Find out about the events taking place and #ShakeYourMoustache with us in support of Movember. #MEMadrid #MEbyMeliá  http://ow.ly/hsGK50xgUhp  pic.twitter.com/N5eGdjNpDq ",0.0,1.0,3.0
0101 Me by Meliá ,16/07/2019," One day to go until @sonarplusd 2019 starts in Barcelona. In celebration of creativity and culture, join ME by Meliá in the SónarHub for an immersive experience taking place in the art installation 'Deep Meditations' by @memotv. Find out more:  http://ow.ly/keup50v1QqK  #SonarDforME pic.twitter.com/SCeHhjHpia ",0.0,2.0,11.0
0101 Me by Meliá ,13/07/2019," As part of the partnership between @sonarplusd and ME by Meliá, we're inviting you to participate in a challenge; a project aimed at creating 'the suite of the future' based on social data that influences the physical world. Learn more here:  https://bit.ly/2ZX5O1v  #SonarDforME pic.twitter.com/vDW682PMzj ",1.0,2.0,10.0
0101 Me by Meliá ,07/05/2019," ME London will be hosting the next installation of Voices of Sonar+D tomorrow, with @robinmcnicholas from @marshmallowlf. Attendees will also experience the immersive experience Deep Meditations by @memotv - which will be moving to @sonarplusd in Barcelona in July. #sonardforME pic.twitter.com/vU00lcc6KE ",0.0,10.0,20.0
0101 Me by Meliá ,01/05/2019," To mark #SalonedelMobile last month, @MEMilanHotel joined forces with @zahahadiddesign, inviting the movers and shakers of the Milanese creative scene come together to reflect on some of the most important works created by the pivotal group of architects. #TheCultureCollecitve pic.twitter.com/vNIxZJNVvj ",0.0,3.0,11.0
0101 Me by Meliá ,23/04/2019," Deep Meditations, by @memotv. Launching tomorrow at ME London. A multi-sensory installation positioned in the architecturally inspiring atrium, ahead of being shown at @sonarplusd. Make moves before the 9th May to view the installation in-person.#TheCultureCollective #SonarDforME pic.twitter.com/ZaoNMsRYV8 ",1.0,4.0,11.0
0101 Me by Meliá ,08/04/2019," Highlights incoming from Voices of @sonarplusd for ME by Meliá. With the first of three thought-provoking talks held at ME Madrid, seeing José Luis De Vicente, from Sónar+D in conversation with Ignasi Capellà, Co-Founder & Marketing Director @BroomxTech.  Next stop, ME London. pic.twitter.com/RnbEmYDVoR ",0.0,9.0,16.0
0101 Me by Meliá ,28/02/2019," Introducing our game-changing exhibition at #MEMadrid, showcasing the importance of female empowerment through the medium of art.   From the 1st - 28th March, Woman Is Art brings together a collective of artists, including @hindsband and @_MariaHerreros_ #TheCultureCollective pic.twitter.com/iaCPBQe9Ln ",0.0,0.0,4.0
0101 Me by Meliá ,22/02/2019," Woman Is Art: A game-changing exhibition coming soon to #MEMadrid, bringing together a collective of renowned artists including @HindsBand & @misterpiro, to celebrate the importance of female empowerment through the medium of art. More details imminent.  #TheCultureCollective pic.twitter.com/g4cwGsmVID ",0.0,16.0,11.0
0103 Innside by Meliá ,09/01/2019, Estamos comprometidos a reducir la cantidad de plástico de un solo uso en nuestros hoteles para luchar por un mundo más sostenible. Por ello el 24 de enero en @fitur_madrid recogeremos plástico para convertirlo en arte. ¿Te unes? Apúntate en mhi.socialmedia@melia.com #TheArtOfEco pic.twitter.com/ZLxf7fAiwV ,3.0,13.0,35.0
0104 Tryp by Windham ,20/11/2019," TRYP TYP: This traditional pastry store in Coruna has over 70 years of business under its belt and all that experience is rolled into every handmade sweet and the best millefeuille! Located near Razor Beach, Los Cantores and Mendez Nunez Park. Photo: @albanovoa_ #PoweredByTheCity pic.twitter.com/4YpD4vJLmQ ",0.0,0.0,5.0
0104 Tryp by Windham ,13/11/2019, TRYP TYP: Barrio de Santa Cruz is located right in the historic district of Alicante Spain. Its full of potted plants and white painted streets and theres a quaint chapel you can visit. Its a wonderful walking way to get to know this special neighborhood. Photo: @mimiolivan pic.twitter.com/0VrIdLPhnA ,0.0,1.0,5.0
0104 Tryp by Windham ,09/11/2019, TRYP TYP:  Just a few short steps from TRYP San Sebastian Orly and right near the port in the citys historic quarter is Cafeteria Santa Lucia where the locals have been flocking for years to indulge in their churros con chocolate. Photo by  @puertoricoeats #PoweredByTheCity pic.twitter.com/RJwSYVkTcH ,0.0,0.0,5.0
0106 Gran Meliá Hotels ,25/12/2019," El mayor lujo en Navidad es poder disfrutar de la compañía de nuestros seres queridos. Esa felicidad que nos invade en los reencuentros, entre anécdotas y abrazos. Hoy brindamos por más de esos momentos que atesoraremos para siempre en la memoria. Feliz Navidad. #ALifeWellLived pic.twitter.com/8oNDOA3Yh9 ",0.0,2.0,5.0
0106 Gran Meliá Hotels ,05/12/2019," La esencia del gran vivir reside en esos pequeños momentos que se han convertido en tradición. Momentos como la #Sobremesa, esa conversación que surge tras una deliciosa comida en buena compañía. Sin prisa ni preocupaciones. Solo disfrutando de los que nos rodean. #ALifeWellLived pic.twitter.com/1xnjIM2aff ",0.0,4.0,13.0
0106 Gran Meliá Hotels ,10/11/2019," El encanto de una gran ciudad como Madrid reside en la vida de sus calles, el sonido de las conversaciones en los bares, el arte emanando de los rincones más insospechados. Pero sobre todo en lugares como @GranMeliaFenix que te hacen sentirte como en casa.  #ALifeWellLived pic.twitter.com/7a0dU7aRQS ",0.0,0.0,3.0
0106 Gran Meliá Hotels ,11/09/2019, El buen vivir y la esencia española se funden en @MeliaHotelsInt  a través de lecciones del gran vivir que dan a conocer la cultura española por todo el mundo. Gracias a @brandsofspain por acompañarnos ayer y apoyarnos como embajadores del buen vivir español. #ALifeWellLived pic.twitter.com/KhhY4edXft ,0.0,2.0,7.0
0106 Gran Meliá Hotels ,16/07/2019," El respeto por las cosas bien hechas y por la tradición en la creación. Presentamos Artesanía, la segunda Lección del Gran Vivir. Una oda al trabajo artesanal creada por nuestra chef Marga Coll y Andrea Zarraluqui y que podrás disfrutar en en Hotel de Mar. #ALifeWellLived pic.twitter.com/5us9Cpd4Y5 ",1.0,1.0,7.0
0106 Gran Meliá Hotels ,04/07/2019," Gastronomía local, creada a partir de productos encontrados cada día en el mercado, y en la que la paciencia se usa como un ingrediente más. Esa es la filosofía  del restaurante Arrels, dirigido por la reconocida chef Marga Coll en el Hotel de Mar, en Mallorca. #ALifeWellLived pic.twitter.com/nLZYhW3tFw ",0.0,1.0,5.0
0106 Gran Meliá Hotels ,18/06/2019," Our Hotel Colón just became member of Virtuoso, the most exclusive luxury travel network. With 7 hotels awarded as Leading Hotels of the World, and 3 hotels in Virtuoso, Meliá Group consolidates itself as a reference in Spanish luxury, lead by Gran Meliá. Congratulations! pic.twitter.com/y1ksHZAiG3 ",0.0,4.0,7.0
0106 Gran Meliá Hotels ,29/05/2019," Seis cuerdas y una gran voz despidiendo el atardecer. Tomatito y Gran Meliá inauguran Noche: la primera de muchas veladas en @GMelia_Colon, donde se podrá disfrutar de música en directo con la tradición andaluza como telón de fondo.  http://bit.ly/2EyqKmr  #ALifeWellLived pic.twitter.com/0CvkEE4yOB ",0.0,15.0,7.0
0106 Gran Meliá Hotels ,17/05/2019," Despedir el atardecer desde @GMelia_Colon en Sevilla con el arte y la pasión como banda sonora.  Descubre Noche, las veladas de música en directo que ofrece Gran Meliá en Hotel Colón, una oportunidad única para ver Sevilla con nuevos ojos. Y nuevos oídos.  http://leccionesdelgranvivir.com  pic.twitter.com/VoGmmDK0Wd ",0.0,3.0,14.0
0106 Gran Meliá Hotels ,07/05/2019," Recuperar la cultura española es una tradición de lujo. Presentamos Lecciones del Gran Vivir, una serie de eventos que ofreceremos en nuestros hoteles que te mostrarán cómo la pasión, el arte y el buen hacer son perfectos compañeros de una vida sin complicaciones #ALifeWellLived pic.twitter.com/Ji0slakQcB ",0.0,9.0,17.0
0106 Gran Meliá Hotels ,15/04/2019," Arte, historia y cultura. Tres Lecciones del Gran Vivir que el @museodelprado lleva transmitiendo desde hace 200 años. Una filosofía que Gran Meliá ha querido mantener desde sus comienzos ofreciendo una magnífica colección de libros y pinturas en nuestros hoteles. #ALifeWellLived pic.twitter.com/LYSG6xKMZt ",0.0,0.0,7.0
0106 Gran Meliá Hotels ,19/03/2019," The colors of walking at citywall under a spectacular sunset, the shape of Xian Skyline, the feeling of making things with your hands. Uncover your inspiration like the artist @Yizhouofficial in an Exceptional Experience at Gran Meliá Xian  http://ow.ly/FIHp50nv7fp  #ALifeWellLived pic.twitter.com/V89MSZ7DZu ",0.0,2.0,10.0
0107 Meliá Hotels & Resorts ,09/10/2019," ¡Sorteo Express! Responde a la siguiente pregunta,  la respuesta más creativa ganará una entrada doble para asistir a Messi10 by Cirque du Soleil. ?  ¿A quién te llevarías a disfrutar del espectáculo del Cirque du Soleil??  #CirqueDuSoleilBarcelona  BL:  https://bit.ly/35jwnRc  pic.twitter.com/ItVbGDvqOG ",2.0,1.0,2.0
0107 Meliá Hotels & Resorts ,07/10/2019," From the 3rd to the 13th of October, Sitges is the capital of fantasy cinema.  Sam Neill, @patrickwilson73, @aaronpaul_8 and @nikolajcw  are some of the most outstanding guests of this 52nd edition, in which @melia_sitges has been the perfect setting. #Sitges2019 @sitgesfestival pic.twitter.com/A2M2DLbJpt ",1.0,0.0,5.0
0107 Meliá Hotels & Resorts ,12/08/2019," These three hotels have outstanding terraces and views for you to witness the Perseids. Embrace that incredible feeling at @meliajardinesdelteide, @HotelMeliaAtlanterra, and #HotelMeliaFuerteventura ?? https://buff.ly/2MYtEWG  #SoulMatters   Instagram??by @adrian.dan.ro @photholic pic.twitter.com/Br96JFTMgz ",17.0,1.0,8.0
0107 Meliá Hotels & Resorts ,26/07/2019, Sorteamos DOS ENTRADAS DOBLES para el concierto de @villagepeople en el Port Adriano Music Festival de Mallorca.   Solo tienes que comentarnos como sería tu encuentro ideal con la banda.  ¡Premiamos la respuesta más original!  Bases legales del sorteo:   https://bit.ly/30QkX4m  pic.twitter.com/zHmfH68O8i ,1.0,4.0,7.0
0107 Meliá Hotels & Resorts ,31/05/2019," Amantes del fútbol, os esperamos el sábado 01/06 a las 21h para vivir en directo la emoción de la final de @lachampions   Además podrás participar en el sorteo de 25 fines de semana en hoteles Meliá.  ¡Descarga @futbar y gana!    https://apple.co/2VGrxZ4   http://bit.ly/2Iue5DN  pic.twitter.com/NKBPYN4SYY ",0.0,6.0,12.0
0200 Barceló Hotel Group ,25/12/2019, En 2020 la personalización del viaje es tendencia con los planes DIY. El 80% de los viajeros afirma que disfruta con la organización previa a la llegada y el 57% de los viajeros busca ampliar sus conocimientos cuando.??  http://barcelo.site/38yeshx    #barceloexperiences#traveltrends pic.twitter.com/jsA2StHSav ,0.0,0.0,2.0
0200 Barceló Hotel Group ,21/12/2019," En 2020 la sostenibilidad será tendencia, los viajeros apostarán por descubrir lugares locales menos conocidos. El 75% de los viajeros muestran más inclinación por la autenticidad sin olvidar lo emblemático del destino. ??  http://barcelo.site/38yeshx  #barceloexperiences#traveltrends pic.twitter.com/hR2ZQcbgbz ",0.0,1.0,2.0
0200 Barceló Hotel Group ,04/12/2019," We are proud and honored to announce that Chef Alejandro Sanchez, our Director of Gastronomy in Royal Hideaway Playacar, has received the coveted #MichelinStar for his restaurant Alejandro in Almeria, Spain for the 10th year in a row. ?? Thank you for your professionalism! pic.twitter.com/Gn1yGfSPEy ",0.0,2.0,9.0
0200 Barceló Hotel Group ,04/12/2019," Estamos muy orgullosos de anunciar que nuestro Director Gastronómico en Royal Hideaway Playacar, el Chef Alejandro Sánchez, ha renovado la #EstrellaMichelin que ostenta desde hace 10 años su restaurante ""Alejandro"" en Almería, España. ?? ¡Gracias por tu talento y profesionalismo! pic.twitter.com/GBEkx0I3oq ",1.0,3.0,7.0
0200 Barceló Hotel Group ,14/11/2019," ¡Estamos celebrando la #MadridHotelWeek en #BarcelóImagine con una Masterclass de la mano de @amaroferreiro! Además de compartir su experiencia musical, nos contará  las claves para tocar la guitarra como un verdadero profesional. Sin duda, un evento de mucha, mucha música.?????? pic.twitter.com/yBOqMz8zvB ",0.0,2.0,5.0
0200 Barceló Hotel Group ,30/08/2019," En #BarceloPonentPlaya tendrás acceso directo a la cala Ferrera, así como instalaciones para disfrutar con toda la familia. ¿Te apetece una mañana en la piscina exterior y un baño relajante por la noche en la piscina cubierta? Este es tu sitio. ??  http://barcelo.site/2yw0sxj  pic.twitter.com/wDCrN5wat9 ",0.0,1.0,5.0
0200 Barceló Hotel Group ,23/08/2019," #BarceloMalaga es uno de los hoteles más modernos y perfectos para tu viaje de negocios. Ven y descubre sus equipadas habitaciones, sus salas de convenciones, y también de los lugares que te harán desconectar después de un día largo como la piscina. ??  https://brclo.com/2ZszTVZ  pic.twitter.com/FoUnNJDetu ",0.0,3.0,9.0
0200 Barceló Hotel Group ,18/08/2019," Ya seas de los más aventureros, o de los que buscan relax en sus vacaciones, en #OccidentalPlayaDePalma encontrarás un lugar para ti. Disfruta de actividades como buceo o golf, o simplemente desconecta en el jacuzzi del hotel. Suena bien, ¿no crees? ??  http://barcelo.site/2zrqa2h  pic.twitter.com/Ia9JKGYyo4 ",0.0,0.0,6.0
0200 Barceló Hotel Group ,17/08/2019," #BarceloRoyalBeach is the best alternative for enjoying a vacation in the Black sea. This hotel offers you everything you need to enjoy your stay: perfect location next to the beach, pools, spa, and the best gastronomy. Ready to discover it? ??  http://barcelo.site/2zqxfa8  pic.twitter.com/CODPHqPDph ",0.0,3.0,9.0
0200 Barceló Hotel Group ,28/07/2019," Es difícil encontrar un hotel con todo lo que necesitas, pero en #BarceloCabodeGata no echarás nada en falta. Con su ubicación al lado de la playa y de sus instalaciones completamente equipadas para que no te falte nada en tus vacaciones. #Almería ??  http://barcelo.site/2icfqqt  pic.twitter.com/YN8KmFpUBp ",0.0,0.0,6.0
0200 Barceló Hotel Group ,24/07/2019," ¡Atención! RENFE lanza16.000 plazas promocionales en trenes de Madrid-Murcia. Aprovecha esta oferta y descubre esta bella ciudad, de la mano de Occidental Murcia Siete Coronas. ¡No dejes escapar esta oportunidad! ??  http://barcelo.site/2lcntcr   #OccidentalMurciaSieteCoronas pic.twitter.com/womRB7D7rk ",0.0,1.0,3.0
0200 Barceló Hotel Group ,27/06/2019," Cuando mereces #MásQueUnResort, te aseguras de elegir el hotel perfecto. Con más de 2km de suave arena y aguas cristalinas el nuevo #BarceloMayaRiviera te dará un recuerdo para toda la vida. No te lo pierdas ?  http://barcelo.site/2uhf4bv   #Mexico #RivieraMaya #AdultsOnly #LoMereces pic.twitter.com/OKa8VsnX0a ",1.0,4.0,8.0
